800 600
139.602 161.717,191.425 157.668,245.221 154.559,301.084 151.291,360.115 146.239,422.496 142.161,487.106 137.175,556.602 132.045,627.701 126.894,136.478 218.763,187.885 216.152,241.778 213.582,299.418 210.31,358.415 208.207,421.185 204.859,487.406 202.092,556.612 199.223,629.268 195.906,134.727 276.611,185.938 275.048,240.971 274.462,298.151 273.25,357.678 272.047,420.697 270.319,487.136 269.042,556.779 268.099,630.272 266.272,131.943 334.656,184.928 335.279,239.7 335.994,297.025 335.542,357.396 336.205,420.095 336.66,487.371 337.099,557.387 337.793,630.728 337.993,130.753 393.971,183.079 395.647,237.759 397.265,296.314 398.931,356.409 401.554,419.942 403.341,487.253 405.208,557.393 407.5,632.02 410.358,129.896 453.374,182.893 456.613,237.975 459.861,296.212 462.691,356.813 466.622,420.502 470.289,487.229 475.16,558.313 478.774,632.449 483.72
122.39 116.609,194.733 119.431,265.977 123.08,338.322 126.701,408.227 129.797,478.392 132.874,547.516 136.328,616.9 139.164,684.729 142.706,122.922 188.531,194.045 191.703,265.341 194.288,335.973 197.667,405.091 200.328,473.918 203.491,543.514 206.379,612.144 209.08,677.903 211.887,123.159 258.976,193.874 261.485,264.104 264.9,332.935 267.061,401.744 270.054,470.089 272.286,537.957 275.037,604.6 277.328,670.886 279.352,123.768 327.709,193.666 331.07,262.895 333.262,330.595 334.812,398.967 337.498,465.729 339.842,532.822 342.184,598.719 343.85,664.058 345.773,124.361 395.066,193.234 396.823,260.736 399.002,328.802 400.68,396.103 403.576,462.436 405.489,528.27 407.098,594.177 408.813,658.365 410.977,126.284 459.234,193.686 460.534,260.876 461.938,327.421 463.348,393.411 465.134,458.216 467.256,523.443 469.207,588.736 471.695,651.758 472.604
133.884 149.139,200.019 150.577,268.517 152.875,336.657 154.379,406.348 157.054,476.211 158.999,548.26 160.394,621.351 162.387,694.242 164.775,138.364 217.07,203.611 218.718,269.413 221.524,335.729 224.031,404.032 226.553,472.588 228.56,542.76 231.368,613.333 233.109,684.028 235.466,143.077 281.476,206.478 284.303,271.413 287.208,335.835 289.811,402.338 292.655,468.555 295.148,536.551 298.102,605.226 300.042,674.982 302.784,148.455 342.871,210.182 345.794,272.814 349.39,336.531 351.989,400.026 354.967,465.237 358.048,531.109 360.383,597.467 363.8,665.175 366.442,152.693 401.149,213.077 404.445,273.796 407.819,336.162 410.534,398.79 414.78,461.389 418.168,525.95 421.065,590.425 424.545,657.027 427.211,158.751 455.889,216.945 458.576,276.356 461.66,336.621 464.475,397.208 468.728,458.335 472.173,521.127 476.42,584.349 481.164,647.538 484.697
106.591 152.377,172.101 152.862,238.344 153.954,305.625 154.978,373.944 155.753,443.263 155.872,514.375 156.531,587.031 157.449,659.547 158.126,108.479 220.035,173.011 220.859,238.991 222.201,305.261 223.39,372.857 224.899,441.598 226.03,511.48 227.382,582.702 229.155,654.907 229.316,111.476 286.024,175.476 287.56,239.575 289.308,305.518 290.784,371.754 292.624,439.806 294.425,508.274 296.068,578.893 297.916,649.397 299.579,113.956 350.359,177.488 352.373,240.626 353.653,305.883 356.491,371.777 358.761,438.493 360.71,506.374 362.613,574.485 365.486,644.145 366.694,118.075 411.869,178.74 414.681,241.658 417.45,305.751 419.418,370.989 422.922,436.034 425.569,503.366 427.644,570.357 430.047,639.556 433.363,121.348 471.348,182.338 473.5,244.502 476.613,307.146 479.3,370.494 482.796,434.384 486.187,500.39 490.088,567.727 493.621,633.95 496.968
92.3185 140.55,152.113 138.468,213.928 136.516,279.954 134.715,348.277 132.295,419.779 129.261,494.519 126.452,573.851 123.58,656.085 121.123,92.8412 207.064,151.65 206.167,213.66 205.977,278.944 205.444,347.316 203.983,418.192 203.591,493.561 203.345,572.007 202.477,653.374 201.022,93.6982 273.186,152.2 273.712,214.794 274.514,279.405 275.626,346.896 276.172,418.01 277.222,491.598 278.652,569.232 279.2,651.093 280.081,94.5684 338.657,154.17 340.226,215.592 342.962,280.011 344.911,346.798 347.256,416.624 349.705,490.487 352.57,567.142 355.788,647.859 358.018,96.6281 402.393,155.044 407.014,215.582 410.099,280.739 413.567,346.297 417.96,415.882 422.354,489.231 426.258,565.808 429.928,645.311 435.01,100.493 465.377,158.074 470.286,219.124 474.924,281.921 479.906,347.792 484.412,416.371 490.993,487.992 496.769,563.633 503.679,642.276 509.239
123.078 128.314,188.516 128.235,253.849 128.257,321.61 128.672,390.85 128.622,460.778 128.367,532.688 128.102,606.857 128.187,680.047 128.449,118.787 194.293,184.152 194.905,250.42 195.465,318.753 196.171,388.491 197.165,458.919 197.635,531.447 197.956,605.952 199.459,679.816 200.568,114.669 261.148,180.724 263.074,248.096 264.52,316.643 265.459,386.355 267.499,457.009 269.137,529.725 270.243,604.137 271.738,679.002 273.091,111.927 329.945,177.301 332.346,245.385 334.144,314.33 335.997,383.851 338.474,455.671 341.215,528.691 343.179,602.729 344.774,678.86 346.995,108.109 398.83,173.689 401.32,242.29 404.627,311.681 406.752,382.077 409.801,453.525 412.687,527.549 416.31,602.602 418.888,677.857 421.563,106.855 467.501,172.624 471.05,240.475 474.761,309.888 477.257,380.03 481.56,451.647 485.565,525.703 489.726,601.244 493.435,676.904 496.596
132.084 160.661,181.957 157.076,236.001 152.356,292.728 147.726,352.193 142.212,415.817 136.463,482.719 131.571,554.054 125.144,630.52 118.676,130.426 219.527,181.508 215.953,234.766 213.815,291.207 210.762,351.533 207.014,414.842 203.987,483.35 200.103,554.593 196.163,631.831 192.385,129.16 277.621,180.288 277.315,233.993 275.543,292.15 273.896,352.052 273.268,414.956 271.785,483.008 269.604,555.458 268.347,633.104 266.153,128.644 337.47,180.763 338.091,234.788 338.306,292.118 339.086,352.109 339.527,416.111 339.634,484.111 340.317,556.577 341.253,633.933 341.412,129.219 396.97,180.176 398.811,234.15 400.432,291.307 402.589,351.385 405.837,414.973 408.112,484.258 410.546,556.735 413.319,633.749 416.177,130.88 455.067,181.99 459.964,236.278 462.618,292.929 465.986,353.529 470.135,416.635 474.961,484.886 480.048,557.254 486.633,634.44 491.225
147.097 142.125,219.336 142.574,289.626 144.031,359.346 145.642,425.855 146.429,490.88 147.203,556.238 147.717,619.673 148.879,680.407 150.025,149.979 212.805,220.658 212.962,290.541 213.834,359.187 213.525,426.175 213.963,490.915 214.007,555.325 214.407,617.015 214.589,677.447 214.919,152.996 282.565,223.011 281.764,291.899 280.816,359.194 280.538,425.235 280.43,489.846 279.665,553.043 279.279,614.041 278.44,674.067 278.44,154.867 350.683,224.758 349.09,292.629 347.836,360.164 346.468,425.128 345.214,487.68 344.388,550.115 343.225,611.138 341.435,671.093 340.116,158.194 417.045,226.912 414.518,293.92 413.163,360.308 411.152,424.633 409.498,487.145 407.469,549.62 405.334,609.251 403.361,667.826 401.458,161.146 480.249,228.634 477.776,295.536 474.27,359.674 471.189,423.207 469.471,485.345 467.71,546.522 465.468,606.37 463.337,664.312 460.662
90.6698 114.545,154.465 113.916,219.079 113.853,284.049 113.699,350.008 112.878,415.793 112.964,481.846 112.03,549.306 110.503,616.672 110.232,87.7386 178.757,152.147 177.791,217.542 177.357,283.209 177.27,349.282 177.073,415.166 177.011,482.858 176.432,550.082 176.104,617.996 176.081,85.7276 243.007,150.872 243.476,216.733 243.304,282.983 243.546,349.43 242.845,415.973 243.435,482.542 243.583,550.652 242.661,619.172 243.005,83.7679 309.21,149.111 309.729,215.782 310.007,282.627 309.753,348.494 309.761,416.087 310.055,483.436 310.914,550.68 310.714,619.684 310.707,82.006 375.724,147.843 376.523,214.009 376.456,281.183 376.424,348.278 377.28,415.435 377.593,483.714 377.67,551.784 378.382,620.859 379.152,82.1307 442.417,147.946 442.826,214.192 443.294,281.568 444.081,348.635 444.497,415.925 445.647,484.121 446.255,553.163 447.23,621.808 447.86
