800 533
215.161 188.589,256.871 188.61,299.863 188.484,343.466 189.019,386.783 189.056,431.387 188.57,475.361 188.642,520.733 189.573,566.794 189.107,214.403 231.428,255.894 231.724,298.631 232.098,341.867 232.188,385.934 232.499,429.964 233.384,475.543 233.553,520.546 234.582,566.252 234.61,214.041 275.234,255.767 275.901,298.27 275.85,341.651 277.073,385.718 276.933,430.16 278.274,474.585 278.587,520.087 279.01,565.019 279.552,213.056 318.111,255.213 318.904,297.817 319.997,341.518 321.042,385.153 321.906,429.302 322.684,473.647 323.046,518.995 323.834,564.133 324.883,212.752 362.046,254.577 362.553,297.142 363.938,340.569 364.765,384.722 366.293,429.021 366.857,473.119 367.625,518.523 369.061,563.636 369.587,212.821 404.23,255.529 405.369,297.444 407.024,341.196 408.31,384.559 409.462,428.171 410.782,472.939 411.877,517.892 413.874,562.838 414.653
203.097 183.256,245.589 181.378,289.954 179.679,334.759 177.588,381.651 175.473,429.746 173.715,480.241 171.049,532.856 168.978,586.049 167.046,203.369 230.391,245.929 229.255,289.116 228.214,334.933 226.778,381.769 225.602,429.852 224.882,481.55 224.012,533.467 222.072,586.682 220.904,203.946 277.532,245.815 277.905,289.864 277.276,335.652 277.319,382.728 276.554,431.338 276.101,481.964 275.476,533.733 275.447,587.848 274.903,204.767 324.767,246.691 326.062,291.087 326.362,336.812 326.621,383.969 326.957,431.835 327.389,483.07 327.667,534.685 328.245,588.109 328.912,205.939 372.322,248.25 373.621,291.952 375.168,337.656 375.529,384.048 377.751,432.616 379.132,483.347 380.238,535.422 380.662,588.845 382.37,208.246 418.63,250.05 420.205,294.158 421.962,339.725 424.334,386.165 426.188,434.279 429.196,484.218 430.906,535.726 433.938,588.614 435.589
178.403 176.35,226.972 177.55,277.042 178.094,328.441 179.398,379.8 180.24,433.501 181.923,488.018 183.627,543.43 184.737,600.34 186.611,182.58 226.363,230.26 227.5,279.489 229.839,329.846 231.682,380.719 233.132,433.06 234.965,487.91 235.887,542.116 237.968,598.172 239.779,186.935 274.296,234.802 276.426,282.33 278.324,332.075 280.399,382.527 282.649,434.516 284.788,487.188 287.005,541.116 288.49,595.109 291.583,192.276 320.425,238.486 322.994,286.391 325.488,334.828 328.043,384.157 331.165,435 333.517,486.871 335.846,538.935 338.211,592.1 341.249,196.288 365.307,242.584 368.068,288.941 371.413,336.866 373.686,385.563 377.531,434.442 380.093,485.938 383.315,537.698 386.233,589.928 388.828,202.308 407.385,246.891 410.074,292.968 413.344,340.058 416.712,387.455 419.747,436.257 423.892,485.348 427.216,535.571 431.013,587.339 434.268
126.406 133.568,183.188 129.275,240.426 124.9,297.194 120.474,354.125 115.401,409.422 111.686,465.437 107.327,519.029 102.902,573.077 99.4414,128.593 187.697,186.707 182.94,244.198 177.678,302.304 173.099,358.999 168.23,415.792 163.787,471.853 159.36,526.316 155.192,580.56 152.2,131.133 244.053,190.537 238.58,248.878 233.673,307.225 229.441,365.124 224.221,421.904 218.965,477.808 214.606,533.658 209.717,588.872 205.974,134.498 302.446,193.694 296.782,252.853 291.345,312.311 286.115,370.764 280.707,428.323 276.177,485.254 271.187,541.603 266.024,596.659 260.435,138.185 361.054,198.148 355.464,257.833 350.311,317.822 344.667,376.867 338.524,434.88 332.734,492.283 327.248,548.725 321.73,604.68 316.504,142.354 421.53,202.561 416.14,262.492 410.066,322.951 404.08,381.838 397.962,441.189 392.455,498.826 386.174,556.338 380.204,612.757 374.253
204.03 148.317,243.967 147.113,286.145 146.655,330.384 146.406,376.045 145.957,423.28 145.18,473.48 143.858,525.891 143.853,580.926 142.924,203.36 195.133,242.8 195.73,284.49 196.237,327.84 197.256,373.955 197.374,421.454 198.03,471.747 199.13,524.813 199.148,580.391 200.318,204.221 243.171,243.256 244.185,284.991 245.616,328.717 247.365,373.741 249.218,421.067 251.237,471.424 252.903,523.927 254.498,579.038 256.932,204.577 290.084,243.715 291.84,284.922 294.625,328.584 297.479,373.544 300.488,421.285 303.642,470.732 306.883,522.96 309.502,577.489 313.432,204.883 336.093,244.344 339.371,284.61 343.216,327.97 347.632,373.228 351.713,420.218 355.745,469.592 360.239,521.873 363.519,575.536 368.683,206.22 382.149,245.705 385.559,287.214 390.639,330.29 395.22,374.924 400.274,421.136 405.808,470.191 411.14,520.413 417.002,574.364 423.127
152.612 144.376,210.189 144.845,269.217 145.35,329.156 146.206,389.301 146.595,449.271 147.756,510.924 149.625,573.332 151.091,634.979 151.986,157.385 201.145,214.734 201.901,271.669 203.118,329.966 203.905,389.267 205.145,448.145 207.187,508.951 207.779,569.076 208.514,628.876 210.166,163.173 255.162,218.679 255.858,274.607 257.539,332.035 258.739,389.852 260.351,447.397 261.201,506.04 262.45,565.222 263.381,623.299 265.213,168.772 306.827,223.467 308.373,278.316 309.265,333.59 311.611,389.349 312.949,446.505 314.286,503.937 315.04,561.125 317.093,618.393 318.525,174.454 356.062,226.837 357.845,280.741 359.657,335.67 361.125,389.841 362.924,445.208 365.057,500.707 366.329,557.053 367.283,613.156 368.504,180.366 401.236,231.833 403.554,284.317 404.681,337.474 406.776,390.707 408.578,444.18 410.77,499.064 412.887,553.541 415.26,607.76 416.151
166.795 123.414,212.786 124.88,261.157 127.261,311.994 130.053,364.706 132.508,418.905 135.666,477.142 139.147,537.069 142.789,599.215 145.428,173.006 175.004,217.465 178.161,264.485 181.957,313.912 185.847,366.178 189.543,420.218 193.368,476.404 197.706,536.208 202.204,597.588 206.568,179.407 224.072,223.249 228.271,269.938 233.332,318.5 238.197,368.783 243.114,421.568 248.345,477.611 253.247,535.198 258.683,595.462 264.703,185.517 272.007,228.849 277.521,274.756 282.266,322.821 288.654,372.329 294.502,424.2 300.003,478.444 306.661,534.439 312.434,592.689 319.166,191.593 318.435,234.285 324.55,278.824 330.962,326.264 337.01,374.748 343.676,425.224 351.005,478.562 358.113,533.486 365.028,590.14 372.185,198.549 361.058,240.664 367.777,284.688 374.317,331.082 381.089,378.165 388.717,427.675 396.908,478.991 404.548,532.135 413.579,588.072 422.323
192.372 139.867,257.278 138.888,321.454 137.882,384.349 137.175,445.171 136.633,505.036 135.821,563.921 135.497,621.221 135.059,675.955 134.498,195.068 202.987,259.342 202.374,322.52 200.048,384.11 199.596,444.68 197.496,503.319 196.516,561.505 195.455,616.951 194.374,670.588 193.383,197.864 264.928,261.065 263.2,323.167 261.28,383.93 259.156,442.733 257.061,501.277 255.543,557.197 252.985,612.56 251.469,666.185 249.601,201.315 325.118,262.216 322.251,323.545 319.649,383.015 317.366,441.382 315.036,497.964 312.025,554.161 309.797,608.606 306.758,661.328 304.352,203.683 382.596,264.737 379.821,324.097 376.002,382.971 373.238,440.873 370.446,496.398 367.304,551.427 364.269,604.934 360.642,656.368 357.153,206.431 437.153,266.292 433.488,324.673 429.039,382.142 425.906,438.471 421.989,493.336 418.519,547.117 415.502,600.846 412.488,651.676 408.601
142.971 128.617,200.36 127.607,257.924 125.955,316.182 124.72,374.677 123.006,434.014 120.95,493.218 119.474,553.183 117.963,612.456 116.37,139.203 183.449,196.888 182.288,255.179 180.517,314.755 177.93,374.799 176.944,435.103 175.449,495.556 174.776,555.868 173.516,616.214 173.346,135.853 239.507,194.616 238.741,253.883 237.553,314.141 236.468,374.602 234.797,435.911 234.2,497.279 232.797,558.597 231.89,620.357 231.204,131.683 299.11,191.66 297.969,251.526 297.002,313.46 296.21,374.675 295.302,436.931 293.75,499.574 292.998,561.638 291.895,624.514 290.991,128.359 359.592,188.227 358.391,249.807 357.58,312.298 356.991,375.247 356.682,438.01 355.235,501.484 354.933,564.461 354.091,628.375 353.382,125.86 421.398,186.422 420.849,249.239 420.825,311.944 421.128,374.72 420.417,438.699 419.734,502.717 418.955,567.982 417.793,632.503 416.612
