960 540
270.105 85.5969,313.095 93.8567,357.959 101.803,404.276 109.54,451.221 118.389,498.82 126.368,548.361 135.229,599.306 144.184,651.029 153.197,262.176 131.938,305.54 140.231,349.382 148.329,395.789 157.266,442.031 166.094,489.827 175.827,539.072 185.282,589.62 193.866,640.791 204.104,254.558 177.353,297.332 186.516,341.841 195.686,386.876 204.775,433.217 214.369,480.718 223.472,529.804 233.755,579.815 243.944,631.053 253.429,247.156 223.248,289.405 232.294,332.923 241.784,377.957 251.768,424.761 261.942,471.326 271.854,519.9 282.686,569.992 293.021,621.607 303.843,239.562 267.759,281.496 278.516,325.561 288.316,370.075 298.141,415.392 308.545,462.824 319.208,510.728 330.276,561.038 341.492,611.021 353.015,231.426 312.86,273.796 323.485,317.568 333.877,361.51 344.132,407.473 354.992,453.672 365.926,502.082 377.515,551.48 389.678,601.546 401.98
237.652 108.992,293.88 112.975,348.626 116.996,400.69 120.57,450.879 124.42,498.701 128.287,545.607 131.549,589.324 134.38,632.101 137.652,231.876 159.526,288.421 162.823,341.18 166.034,393.026 168.727,442.144 171.388,489.496 173.471,534.763 176.026,577.958 178.576,620.487 180.847,226.951 209.047,281.632 210.936,334.468 213.035,384.999 214.772,432.985 216.17,479.345 217.952,524.088 219.086,567.568 221.14,609.571 221.658,222.304 256.01,276.341 257.449,327.528 258.084,377.473 258.685,424.106 259.764,470.07 260.386,514.183 261.179,557.587 261.501,597.946 261.742,218.209 301.96,270.056 301.361,321.206 301.491,369.511 301.233,416.856 300.86,462.011 301.271,505.358 300.776,547.12 300.427,587.433 300.046,213.733 345.046,265.203 343.74,314.957 342.779,363.045 342.172,409 341.135,453.019 340.047,496.056 338.849,537.341 338.097,577.392 337.352
257.849 118.423,301.399 118.799,344.975 119.062,391.371 119.557,437.471 119.539,485.015 120.383,534.59 120.297,584.964 120.619,636.802 121.188,253.619 163.34,297.445 163.693,341.753 165.465,387.148 166.434,433.977 166.669,482.464 167.442,532.097 168.55,582.458 170.103,634.078 170.119,249.408 208.577,292.672 209.852,338.114 211.444,384.028 212.542,430.535 214.269,478.388 215.563,528.88 217.323,579.53 218.758,631.356 220.407,245.917 254.263,289.312 255.893,333.567 258.457,380.206 260.161,427.416 262.164,475.353 264.485,525.095 265.978,576.441 268.666,628.489 270.65,241.577 300.058,284.752 302.416,329.941 304.809,375.834 307.305,423.501 310.152,472.162 312.864,521.671 315.331,573.806 317.964,626.159 321.116,237.364 346.109,281.236 349.513,326.248 351.968,372.777 355.494,419.317 358.771,468.593 361.987,519.075 365.338,570.807 368.236,623.674 372.265
197.229 159.08,249.928 148.844,302.387 138.244,353.709 128.637,402.339 119.458,449.802 109.559,497.354 100.708,541.948 91.5874,586.421 83.4339,208.702 209.817,262.242 198.212,313.671 187.74,364.713 177.623,413.424 167.129,460.821 157.736,506.762 147.911,552.358 138.028,595.397 128.854,221.684 259.793,273.937 247.922,325.664 237.289,375.161 226.112,423.839 214.507,470.468 204.699,516.551 193.95,561.05 183.404,605.002 173.713,233.168 310.124,285.323 297.838,336.695 285.34,386.29 273.71,433.862 262.182,481.093 251.179,526.104 240.076,570.438 229.089,614.041 218.9,245.138 359.072,296.799 346.063,347.291 333.801,396.627 320.47,444.167 308.369,490.914 297.23,535.942 285.199,579.831 273.744,622.298 263.097,257.631 407.149,308.95 393.808,358.463 380.745,407.552 367.446,454.21 354.996,500.788 341.822,545.715 330.037,588.986 317.855,630.882 306.4
214.505 124.416,267.675 123.702,318.648 123.996,368.303 124.492,417.5 123.758,464.214 124.018,510.938 124.53,555.217 124.728,599.207 124.521,217.057 171.049,270.728 171.084,322.141 170.598,372.541 169.81,422.188 168.763,469.384 168.551,515.791 167.697,561.368 167.259,605.011 166.67,220.686 219.481,273.659 218.676,326.176 217.498,377.193 216.629,426.128 215.35,474.006 213.799,521.864 212.814,566.961 211.485,611.6 209.441,223.135 269.661,277.268 267.963,329.803 265.921,381.091 264.279,431.221 262.267,479.856 260.055,526.494 258.02,573.238 255.848,617.48 254.324,225.973 320.314,281.059 317.386,333.66 314.848,386.279 311.72,436.162 309.224,485.317 306.263,532.384 304.026,579.162 301.085,623.604 298.839,229.43 372.006,283.891 367.662,337.437 364.279,390.006 361.376,440.505 357.903,490.537 354.216,537.977 350.859,585.082 347.238,629.498 344.333
235.246 110.601,276.639 107.69,317.419 103.921,358.189 100.73,398.199 97.452,437.458 93.5991,476.939 91.2026,516.237 87.2807,554.42 83.9048,240.487 149.874,281.041 145.8,321.71 142.935,361.788 139.119,401.11 135.641,440.671 132.382,480.338 128.803,519.095 125.006,557.11 122.182,245.309 188.095,285.383 184.279,325.479 180.54,365.769 176.921,405.297 173.149,444.376 169.521,482.913 166.354,521.16 162.859,559.374 158.486,250.164 226.013,290.818 222.38,330.418 218.794,369.826 215.037,408.921 211.132,447.572 207.123,485.843 202.987,524.227 199.74,561.837 195.826,254.962 262.586,294.688 258.693,334.007 255.298,373.699 250.977,412.286 246.941,450.794 242.946,489.121 238.688,525.937 235.104,563.356 231.497,259.681 299.742,299.043 294.961,338.638 291.305,377.665 287.439,416.036 282.883,453.806 278.621,491.369 274.809,529.303 270.241,565.414 266.705
225.824 93.9535,285.733 105.099,342.529 116.216,398.444 127.112,452.766 137.357,504.6 148.102,555.143 157.245,604.184 167.059,651.518 176.329,218.721 148.292,279.347 158.504,337.459 168.564,394.625 179.048,448.896 189.114,501.139 198.568,552.572 207.665,602.266 216.086,649.564 224.345,211.266 204.102,272.495 213.987,331.904 222.976,389.911 232.503,444.613 240.826,498.592 249.815,550.635 257.803,600.251 265.836,648.952 272.85,203.917 261.304,266.062 269.696,327.041 278.509,385.433 286.473,441.197 294.643,494.767 302.399,547.243 309.351,598.552 317.18,646.876 323.43,196.64 319.677,259.923 328.036,320.836 335.211,379.802 342.799,437.3 349.232,491.477 356.566,545.071 362.206,596.523 369.33,645.765 374.855,188.483 380.382,252.805 386.563,314.511 392.748,375.138 399.417,432.708 405.757,488.282 411.208,542.682 417.043,594.347 422.023,644.429 427.665
275.091 154.402,315.017 149.04,356.929 144.345,402.186 139.802,448.462 134.036,498.343 128.82,551.024 121.858,605.366 115.585,664.051 109.297,271.672 201.812,312.318 198.215,354.903 195.028,399.496 191.553,446.886 187.286,496.009 182.925,548.995 178.512,604.757 173.313,663.991 167.456,269.091 250.501,309.113 248.805,352.033 246.339,396.547 243.644,444.402 241.249,494.548 238.432,546.855 235.044,603.917 231.708,662.757 227.807,265.345 300.243,305.682 299.123,348.925 298.605,394.392 297.544,442.054 295.691,492.436 293.569,546.1 292.668,602.236 290.89,661.655 289.079,261.85 350.798,302.651 350.37,345.524 350.724,391.854 350.965,439.375 350.824,490.281 350.885,543.661 350.692,600.462 350.734,661.48 350.724,259.036 401.255,299.496 402.751,342.669 403.777,389.147 405.666,437.09 405.986,488.441 407.905,542.72 410.403,599.474 411.692,660.411 413.716
